               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.019394,           0.0056258,                   0,             0.98069,             0.98756,              0.9895,             0.82809,            0.013792,           0.0033078,                   0,           0.0093813,           0.0093813,           0.0093813
                  77,            0.019548,           0.0056541,                   0,             0.97926,             0.98965,             0.99018,             0.82846,            0.013792,           0.0033012,                   0,            0.009373,            0.009373,            0.009373
                  78,            0.019507,           0.0054666,                   0,              0.9787,             0.99067,             0.98991,             0.82916,            0.013765,           0.0032997,                   0,           0.0093647,           0.0093647,           0.0093647
                  79,            0.019408,           0.0056214,                   0,              0.9779,              0.9915,             0.98902,             0.82979,            0.013691,           0.0032922,                   0,           0.0093565,           0.0093565,           0.0093565
                  80,            0.019545,           0.0056658,                   0,             0.97885,             0.99138,             0.98915,              0.8297,            0.013675,           0.0032903,                   0,           0.0093483,           0.0093483,           0.0093483
                  81,            0.019584,           0.0056076,                   0,              0.9792,             0.99168,             0.98956,             0.82975,            0.013641,           0.0032847,                   0,             0.00934,             0.00934,             0.00934
                  82,            0.019333,           0.0055157,                   0,             0.97889,             0.99162,             0.98948,             0.83117,            0.013601,           0.0032753,                   0,           0.0093317,           0.0093317,           0.0093317
                  83,              0.0192,           0.0056217,                   0,             0.97863,             0.99311,             0.98979,             0.83219,            0.013552,           0.0032652,                   0,           0.0093235,           0.0093235,           0.0093235
                  84,            0.019176,           0.0055732,                   0,             0.97873,             0.99236,             0.99026,             0.83214,            0.013474,           0.0032558,                   0,           0.0093152,           0.0093152,           0.0093152
                  85,            0.019181,           0.0054936,                   0,             0.97767,             0.99283,             0.99091,             0.83432,            0.013456,           0.0032524,                   0,            0.009307,            0.009307,            0.009307
                  86,            0.019188,           0.0055215,                   0,             0.97929,             0.99138,             0.99089,             0.83454,            0.013409,           0.0032467,                   0,           0.0092987,           0.0092987,           0.0092987
                  87,            0.019186,           0.0054339,                   0,                0.98,             0.99174,             0.99106,             0.83631,            0.013364,           0.0032372,                   0,           0.0092905,           0.0092905,           0.0092905
                  88,            0.019183,           0.0055016,                   0,             0.97981,             0.99284,             0.99098,              0.8382,             0.01331,           0.0032272,                   0,           0.0092823,           0.0092823,           0.0092823
                  89,            0.019161,           0.0055598,                   0,             0.97968,               0.992,             0.99074,             0.83873,            0.013266,            0.003222,                   0,            0.009274,            0.009274,            0.009274
                  90,            0.019147,           0.0054649,                   0,             0.97991,             0.99175,             0.99031,             0.83753,            0.013249,           0.0032171,                   0,           0.0092657,           0.0092657,           0.0092657
                  91,            0.018863,           0.0053619,                   0,             0.98048,             0.99199,             0.99052,             0.83801,             0.01323,           0.0032156,                   0,           0.0092575,           0.0092575,           0.0092575
                  92,            0.018773,           0.0053675,                   0,             0.98066,             0.99328,             0.99084,             0.83865,            0.013191,           0.0032073,                   0,           0.0092493,           0.0092493,           0.0092493
                  93,            0.018794,           0.0054384,                   0,             0.98183,             0.99205,             0.99055,             0.83933,            0.013169,           0.0032023,                   0,            0.009241,            0.009241,            0.009241
                  94,            0.019052,           0.0054729,                   0,             0.98179,             0.99174,             0.99032,             0.83867,            0.013144,           0.0031987,                   0,           0.0092327,           0.0092327,           0.0092327
                  95,            0.018988,           0.0054215,                   0,             0.98226,             0.99174,             0.99066,             0.83995,            0.013099,           0.0031911,                   0,           0.0092245,           0.0092245,           0.0092245
                  96,            0.018998,           0.0054895,                   0,             0.98133,             0.99078,             0.99065,             0.84051,            0.013049,           0.0031883,                   0,           0.0092163,           0.0092163,           0.0092163
                  97,            0.018802,            0.005465,                   0,             0.98053,             0.99269,             0.99069,             0.84073,            0.013015,           0.0031859,                   0,            0.009208,            0.009208,            0.009208
                  98,            0.018917,           0.0054242,                   0,             0.98076,             0.99257,             0.99059,             0.84104,            0.013001,           0.0031818,                   0,           0.0091997,           0.0091997,           0.0091997
                  99,            0.018866,           0.0054621,                   0,             0.98006,             0.99309,             0.99054,             0.84125,            0.012978,           0.0031772,                   0,           0.0091915,           0.0091915,           0.0091915
                 100,             0.01921,           0.0055385,                   0,             0.98194,             0.99131,             0.99072,             0.84286,            0.012944,           0.0031728,                   0,           0.0091833,           0.0091833,           0.0091833
                 101,            0.018787,           0.0053728,                   0,             0.98089,             0.99295,             0.99075,             0.84366,            0.012917,           0.0031695,                   0,            0.009175,            0.009175,            0.009175
